fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
127,1712246028144,1712246031111,1712246242825,1712246247058,1712246252314,1712246276453
128,1712246028144,1712246031127,1712246250013,1712246254743,1712246256534,1712246276453
129,1712246028144,1712246031171,1712246225051,1712246228649,1712246236026,1712246276453
130,1712246028144,1712246031137,1712246251745,1712246256531,1712246258832,1712246276453
131,1712246028144,1712246031163,1712246225310,1712246229414,1712246238912,1712246276453
132,1712246028144,1712246031154,1712246221027,1712246224127,1712246233278,1712246276453
133,1712246028144,1712246031158,1712246232798,1712246236437,1712246242937,1712246276453
134,1712246028144,1712246031171,1712246242896,1712246249014,1712246252878,1712246276453
135,1712246028144,1712246031166,1712246231503,1712246235459,1712246244469,1712246276453
136,1712246028144,1712246031168,1712246247623,1712246250693,1712246252685,1712246276453
137,1712246028144,1712246031212,1712246229118,1712246232960,1712246240941,1712246276453
138,1712246028144,1712246031191,1712246230976,1712246234424,1712246243460,1712246276453
139,1712246028144,1712246031188,1712246243603,1712246247383,1712246251952,1712246276453
140,1712246028144,1712246031189,1712246241799,1712246247786,1712246253722,1712246276453
141,1712246028144,1712246031206,1712246228561,1712246231778,1712246240982,1712246276453
142,1712246028144,1712246031233,1712246245802,1712246249020,1712246252171,1712246276453
143,1712246028144,1712246031201,1712246242637,1712246247086,1712246251256,1712246276453
144,1712246028144,1712246031214,1712246248256,1712246253321,1712246257066,1712246276453
145,1712246028144,1712246031265,1712246235687,1712246239502,1712246246798,1712246276453
146,1712246028144,1712246031228,1712246250888,1712246257209,1712246260656,1712246276453
147,1712246028144,1712246031267,1712246231536,1712246236507,1712246245694,1712246276453
148,1712246028144,1712246031249,1712246248163,1712246252753,1712246254918,1712246276453
149,1712246028144,1712246031261,1712246243934,1712246248003,1712246251720,1712246276453
150,1712246028144,1712246031245,1712246242358,1712246246380,1712246251605,1712246276453
151,1712246028144,1712246031257,1712246234848,1712246237702,1712246245060,1712246276453
152,1712246028144,1712246031284,1712246241126,1712246246524,1712246252267,1712246276453
153,1712246028144,1712246031369,1712246238600,1712246244086,1712246251154,1712246276453
154,1712246028144,1712246031295,1712246242522,1712246249660,1712246253798,1712246276453
155,1712246028144,1712246031296,1712246250245,1712246257470,1712246260419,1712246276453
156,1712246028144,1712246031300,1712246229165,1712246234853,1712246246601,1712246276453
157,1712246028144,1712246031315,1712246235073,1712246240667,1712246247986,1712246276453
158,1712246028144,1712246031298,1712246219884,1712246222861,1712246232507,1712246276453
159,1712246028144,1712246031308,1712246237855,1712246241583,1712246249277,1712246276453
160,1712246028144,1712246031363,1712246227962,1712246231859,1712246240741,1712246276453
161,1712246028144,1712246031338,1712246222971,1712246225801,1712246234421,1712246276453
162,1712246028144,1712246031329,1712246249677,1712246255591,1712246257951,1712246276453
163,1712246028144,1712246031319,1712246235968,1712246241440,1712246249338,1712246276453
164,1712246028144,1712246031334,1712246249433,1712246255196,1712246258600,1712246276453
165,1712246028144,1712246031348,1712246237583,1712246242372,1712246248438,1712246276453
166,1712246028144,1712246031352,1712246246248,1712246249755,1712246252372,1712246276453
167,1712246028144,1712246031353,1712246251801,1712246256962,1712246259459,1712246276453
169,1712246028144,1712246031356,1712246227882,1712246231044,1712246238275,1712246276453
170,1712246028144,1712246031394,1712246233836,1712246237411,1712246246118,1712246276453
171,1712246028144,1712246031395,1712246242970,1712246248094,1712246252013,1712246276453
172,1712246028144,1712246031367,1712246237721,1712246243046,1712246249622,1712246276453
173,1712246028144,1712246031374,1712246227298,1712246231114,1712246240367,1712246276453
174,1712246028144,1712246031376,1712246215371,1712246219205,1712246231633,1712246276453
175,1712246028144,1712246031377,1712246234842,1712246240452,1712246248992,1712246276453
176,1712246028144,1712246031423,1712246239806,1712246244793,1712246254355,1712246276453
177,1712246028144,1712246031424,1712246234126,1712246237829,1712246245076,1712246276453
178,1712246028144,1712246031402,1712246249782,1712246255270,1712246257963,1712246276453
179,1712246028144,1712246031447,1712246249730,1712246254850,1712246257392,1712246276453
180,1712246028144,1712246031437,1712246240599,1712246246469,1712246251239,1712246276453
182,1712246028144,1712246031432,1712246245051,1712246249401,1712246254985,1712246276453
183,1712246028144,1712246031442,1712246246720,1712246250499,1712246253152,1712246276453
184,1712246028144,1712246034773,1712246197685,1712246203027,1712246219007,1712246276453
185,1712246028144,1712246034234,1712246180188,1712246184915,1712246196691,1712246276453
186,1712246028144,1712246034899,1712246179517,1712246184403,1712246198026,1712246276453
187,1712246028144,1712246033788,1712246188302,1712246193400,1712246207694,1712246276453
188,1712246028144,1712246034208,1712246181636,1712246185664,1712246194633,1712246276453
189,1712246028144,1712246034331,1712246177215,1712246180768,1712246189953,1712246276453
190,1712246028144,1712246034710,1712246193085,1712246198538,1712246212782,1712246276453
191,1712246028144,1712246035412,1712246177164,1712246180127,1712246189242,1712246276453
192,1712246028144,1712246035524,1712246182689,1712246186511,1712246196842,1712246276453
193,1712246028144,1712246031651,1712246253798,1712246258631,1712246260771,1712246276453
194,1712246028144,1712246031655,1712246239602,1712246245112,1712246251859,1712246276453
195,1712246028144,1712246031647,1712246250502,1712246256141,1712246258914,1712246276453
196,1712246028144,1712246031645,1712246231798,1712246236583,1712246246557,1712246276453
197,1712246028144,1712246031636,1712246209580,1712246212303,1712246220334,1712246276453
198,1712246028144,1712246031652,1712246242254,1712246247981,1712246254520,1712246276453
199,1712246028144,1712246031654,1712246247232,1712246252779,1712246255584,1712246276453
200,1712246028144,1712246031647,1712246239190,1712246245687,1712246254770,1712246276453
201,1712246028144,1712246031648,1712246209222,1712246211477,1712246220345,1712246276453
202,1712246028144,1712246031649,1712246250218,1712246254236,1712246256029,1712246276453
203,1712246028144,1712246031651,1712246248459,1712246253986,1712246256271,1712246276453
204,1712246028144,1712246031645,1712246240396,1712246246396,1712246254666,1712246276453
205,1712246028144,1712246031655,1712246252613,1712246258653,1712246264232,1712246276453
206,1712246028144,1712246031651,1712246245633,1712246251703,1712246255022,1712246276453
207,1712246028144,1712246031645,1712246255572,1712246260394,1712246263898,1712246276453
208,1712246028144,1712246031656,1712246234190,1712246238142,1712246247076,1712246276453
209,1712246028144,1712246031654,1712246243544,1712246247529,1712246253291,1712246276453
210,1712246028144,1712246031655,1712246218757,1712246221360,1712246229943,1712246276453
211,1712246028144,1712246031641,1712246238906,1712246244888,1712246252960,1712246276453
212,1712246028144,1712246031655,1712246244731,1712246249886,1712246254791,1712246276453
213,1712246028144,1712246031658,1712246254661,1712246259387,1712246263284,1712246276453
214,1712246028144,1712246031652,1712246251055,1712246256081,1712246258237,1712246276453
215,1712246028144,1712246031660,1712246252387,1712246258262,1712246261021,1712246276453
216,1712246028144,1712246031656,1712246251320,1712246257732,1712246261397,1712246276453
217,1712246028144,1712246031651,1712246235200,1712246240356,1712246249092,1712246276453
218,1712246028144,1712246031656,1712246246241,1712246251709,1712246255149,1712246276453
219,1712246028144,1712246031652,1712246243393,1712246247593,1712246252665,1712246276453
220,1712246028144,1712246031646,1712246228782,1712246232696,1712246242795,1712246276453
221,1712246028144,1712246031658,1712246225687,1712246229083,1712246237643,1712246276453
222,1712246028144,1712246031660,1712246233212,1712246237507,1712246247240,1712246276453
223,1712246028144,1712246031660,1712246242502,1712246246605,1712246253650,1712246276453
224,1712246028144,1712246031660,1712246251218,1712246254450,1712246256263,1712246276453
225,1712246028144,1712246031661,1712246244516,1712246248971,1712246254412,1712246276453
226,1712246028144,1712246031665,1712246241712,1712246247542,1712246253775,1712246276453
227,1712246028144,1712246031666,1712246246278,1712246251815,1712246255754,1712246276453
228,1712246028144,1712246031667,1712246243062,1712246247112,1712246252204,1712246276453
229,1712246028144,1712246031678,1712246241304,1712246245424,1712246252414,1712246276453
230,1712246028144,1712246031678,1712246232432,1712246236769,1712246246412,1712246276453
231,1712246028144,1712246031681,1712246247040,1712246251050,1712246254894,1712246276453
232,1712246028144,1712246031688,1712246245296,1712246248734,1712246252956,1712246276453
233,1712246028144,1712246031690,1712246244745,1712246249950,1712246256944,1712246276453
234,1712246028144,1712246031693,1712246221898,1712246224866,1712246232579,1712246276453
235,1712246028144,1712246031702,1712246233721,1712246239231,1712246249207,1712246276453
236,1712246028144,1712246031713,1712246231141,1712246234748,1712246243334,1712246276453
237,1712246028144,1712246031707,1712246229270,1712246234662,1712246246342,1712246276453
238,1712246028144,1712246031715,1712246230249,1712246233800,1712246241528,1712246276453
239,1712246028144,1712246031719,1712246228491,1712246232905,1712246243851,1712246276453
241,1712246028144,1712246031728,1712246241473,1712246244549,1712246250477,1712246276453
242,1712246028144,1712246031729,1712246241966,1712246247068,1712246253211,1712246276453
243,1712246028144,1712246031733,1712246239549,1712246244474,1712246251800,1712246276453
244,1712246028144,1712246031746,1712246237727,1712246242039,1712246250478,1712246276453
245,1712246028144,1712246031755,1712246237995,1712246242639,1712246250710,1712246276453
246,1712246028144,1712246031761,1712246235470,1712246240565,1712246249482,1712246276453
248,1712246028144,1712246031782,1712246241426,1712246245937,1712246252156,1712246276453
249,1712246028144,1712246031798,1712246241548,1712246247355,1712246254120,1712246276453
250,1712246028144,1712246031824,1712246246528,1712246252173,1712246254852,1712246276453
251,1712246028144,1712246031822,1712246230495,1712246233922,1712246243027,1712246276453
252,1712246028144,1712246031821,1712246249057,1712246255635,1712246258650,1712246276453
253,1712246028144,1712246031855,1712246240529,1712246247762,1712246254810,1712246276453
254,1712246028144,1712246031838,1712246234974,1712246238629,1712246246494,1712246276453
255,1712246028144,1712246031842,1712246231240,1712246237132,1712246247352,1712246276453
256,1712246028144,1712246031862,1712246242185,1712246247716,1712246254011,1712246276453
257,1712246028144,1712246031855,1712246240193,1712246244946,1712246251848,1712246276453
258,1712246028144,1712246031854,1712246252503,1712246256143,1712246258079,1712246276453
259,1712246028144,1712246031873,1712246223616,1712246226507,1712246235005,1712246276453
260,1712246028144,1712246031878,1712246242012,1712246246682,1712246253213,1712246276453
261,1712246028144,1712246031867,1712246252517,1712246258300,1712246261092,1712246276453
263,1712246028144,1712246031879,1712246226981,1712246230901,1712246241800,1712246276453
