xx,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,yy,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
95,95.0,1714053540802.0,1714053563754.0,1714053571428.0,1714053573735.0,1714053591928.0,95.0,1714053620428.0,1714053639208.0,1714053666398.0,1714053673164.0,1714053677607.0,1714053688988.0
96,96.0,1714053540802.0,1714053551613.0,1714053559519.0,1714053561548.0,1714053598673.0,96.0,1714053620428.0,1714053626499.0,1714053640030.0,1714053647928.0,1714053656772.0,1714053688988.0
97,97.0,1714053540802.0,1714053550721.0,1714053559270.0,1714053561369.0,1714053596552.0,97.0,1714053620428.0,1714053627521.0,1714053642269.0,1714053653697.0,1714053662601.0,1714053688988.0
98,98.0,1714053540802.0,1714053550861.0,1714053558737.0,1714053560619.0,1714053593768.0,98.0,1714053620428.0,1714053627657.0,1714053642045.0,1714053650222.0,1714053659918.0,1714053688988.0
99,99.0,1714053540802.0,1714053550457.0,1714053558357.0,1714053560438.0,1714053592567.0,99.0,1714053620428.0,1714053627592.0,1714053642707.0,1714053654985.0,1714053667313.0,1714053688988.0
100,100.0,1714053540802.0,1714053550173.0,1714053557828.0,1714053559375.0,1714053584591.0,100.0,1714053620428.0,1714053625659.0,1714053638481.0,1714053645361.0,1714053658417.0,1714053688988.0
101,101.0,1714053540802.0,1714053550778.0,1714053559144.0,1714053561142.0,1714053593313.0,101.0,1714053620428.0,1714053626310.0,1714053640142.0,1714053648963.0,1714053656225.0,1714053688988.0
102,102.0,1714053540802.0,1714053548760.0,1714053557921.0,1714053559716.0,1714053588854.0,102.0,1714053620428.0,1714053627326.0,1714053641991.0,1714053650375.0,1714053659016.0,1714053688988.0
103,103.0,1714053540802.0,1714053551346.0,1714053559742.0,1714053561749.0,1714053597989.0,103.0,1714053620428.0,1714053625487.0,1714053638889.0,1714053648739.0,1714053659250.0,1714053688988.0
104,104.0,1714053540802.0,1714053548042.0,1714053555671.0,1714053556902.0,1714053564042.0,104.0,1714053620428.0,1714053626931.0,1714053642442.0,1714053654696.0,1714053666200.0,1714053688988.0
105,105.0,1714053540802.0,1714053550528.0,1714053558127.0,1714053559809.0,1714053588970.0,105.0,1714053620428.0,1714053626231.0,1714053640568.0,1714053650896.0,1714053659818.0,1714053688988.0
106,106.0,1714053540802.0,1714053547872.0,1714053556810.0,1714053558214.0,1714053577344.0,106.0,1714053620428.0,1714053627330.0,1714053642207.0,1714053650481.0,1714053657877.0,1714053688988.0
107,107.0,1714053540802.0,1714053551187.0,1714053558793.0,1714053560825.0,1714053593952.0,107.0,1714053620428.0,1714053627105.0,1714053640982.0,1714053649144.0,1714053656636.0,1714053688988.0
108,108.0,1714053540802.0,1714053551915.0,1714053560020.0,1714053562014.0,1714053598170.0,108.0,1714053620428.0,1714053629080.0,1714053645936.0,1714053655193.0,1714053665342.0,1714053688988.0
109,109.0,1714053540802.0,1714053550289.0,1714053558379.0,1714053560350.0,1714053589507.0,109.0,1714053620428.0,1714053625892.0,1714053639099.0,1714053647709.0,1714053657135.0,1714053688988.0
110,110.0,1714053540802.0,1714053548037.0,1714053556301.0,1714053557672.0,1714053569822.0,110.0,1714053620428.0,1714053628605.0,1714053644950.0,1714053655871.0,1714053663811.0,1714053688988.0
111,111.0,1714053540802.0,1714053551041.0,1714053558816.0,1714053560812.0,1714053593997.0,111.0,1714053620428.0,1714053626413.0,1714053640639.0,1714053651128.0,1714053658979.0,1714053688988.0
112,112.0,1714053540802.0,1714053547962.0,1714053556454.0,1714053557862.0,1714053573028.0,112.0,1714053620428.0,1714053626717.0,1714053640800.0,1714053651132.0,1714053659531.0,1714053688988.0
113,113.0,1714053540802.0,1714053551543.0,1714053560637.0,1714053562758.0,1714053598945.0,113.0,1714053620428.0,1714053625977.0,1714053639182.0,1714053647385.0,1714053654414.0,1714053688988.0
114,114.0,1714053540802.0,1714053548600.0,1714053556317.0,1714053557645.0,1714053569823.0,114.0,1714053620428.0,1714053628480.0,1714053644861.0,1714053655561.0,1714053663131.0,1714053688988.0
115,115.0,1714053540802.0,1714053551794.0,1714053559963.0,1714053562128.0,1714053597272.0,115.0,1714053620428.0,1714053625391.0,1714053638575.0,1714053648758.0,1714053659491.0,1714053688988.0
116,116.0,1714053540802.0,1714053548141.0,1714053556587.0,1714053557955.0,1714053574101.0,116.0,1714053620428.0,1714053628385.0,1714053643977.0,1714053652767.0,1714053661912.0,1714053688988.0
117,117.0,1714053540802.0,1714053548660.0,1714053556844.0,1714053558239.0,1714053575393.0,117.0,1714053620428.0,1714053628136.0,1714053643568.0,1714053652697.0,1714053661355.0,1714053688988.0
118,118.0,1714053540802.0,1714053553529.0,1714053560887.0,1714053563202.0,1714053600385.0,118.0,1714053620428.0,1714053628906.0,1714053644541.0,1714053654368.0,1714053661597.0,1714053688988.0
119,119.0,1714053540802.0,1714053548791.0,1714053556826.0,1714053558237.0,1714053576334.0,119.0,1714053620428.0,1714053628817.0,1714053645567.0,1714053655978.0,1714053663456.0,1714053688988.0
120,120.0,1714053540802.0,1714053553557.0,1714053561211.0,1714053562934.0,1714053601038.0,120.0,1714053620428.0,1714053629494.0,1714053646480.0,1714053656646.0,1714053666129.0,1714053688988.0
121,121.0,1714053540802.0,1714053552454.0,1714053560662.0,1714053562463.0,1714053599670.0,121.0,1714053620428.0,1714053627964.0,1714053643553.0,1714053652338.0,1714053661559.0,1714053688988.0
122,122.0,1714053540802.0,1714053552452.0,1714053559794.0,1714053561893.0,1714053600215.0,122.0,1714053620428.0,1714053629186.0,1714053648077.0,1714053664140.0,1714053675228.0,1714053688988.0
123,123.0,1714053540802.0,1714053552250.0,1714053559804.0,1714053561961.0,1714053598168.0,123.0,1714053620428.0,1714053628225.0,1714053643378.0,1714053651668.0,1714053659513.0,1714053688988.0
124,124.0,1714053540802.0,1714053552817.0,1714053562029.0,1714053564414.0,1714053603076.0,124.0,1714053620428.0,1714053630548.0,1714053648056.0,1714053657203.0,1714053667453.0,1714053688988.0
125,125.0,1714053540802.0,1714053552629.0,1714053561147.0,1714053563181.0,1714053600353.0,125.0,1714053620428.0,1714053630800.0,1714053648425.0,1714053657554.0,1714053666569.0,1714053688988.0
126,126.0,1714053540802.0,1714053553130.0,1714053562632.0,1714053565249.0,1714053615403.0,126.0,1714053620428.0,1714053629386.0,1714053645788.0,1714053653000.0,1714053659340.0,1714053688988.0
