fn_id,host_submit,init_fn,post_download,pre_shuffle,post_shuffle,pre_upload,end_fn,finished
163,1714039997898,1714040001530,1714040013364,1714040017979,1714040055841,1714040067084,1714040072061,1714040091830
164,1714039997898,1714040001543,1714040011951,1714040017893,1714040051899,1714040059741,1714040066901,1714040091830
165,1714039997898,1714040001548,1714040012001,1714040015545,1714040047034,1714040058406,1714040066601,1714040091830
166,1714039997898,1714040001532,1714040010471,1714040027974,1714040056858,1714040069175,1714040074625,1714040091830
167,1714039997898,1714040001530,1714040012581,1714040015475,1714040064503,1714040075041,1714040079822,1714040091830
168,1714039997898,1714040001536,1714040010869,1714040027474,1714040061917,1714040071140,1714040075937,1714040091830
169,1714039997898,1714040001532,1714040014389,1714040017943,1714040049507,1714040060019,1714040065429,1714040091830
170,1714039997898,1714040001540,1714040013242,1714040015296,1714040049708,1714040060945,1714040069240,1714040091830
171,1714039997898,1714040001532,1714040013742,1714040017946,1714040060253,1714040069345,1714040074960,1714040091830
172,1714039997898,1714040001534,1714040011934,1714040018688,1714040046587,1714040053720,1714040059952,1714040091830
173,1714039997898,1714040001531,1714040010712,1714040027602,1714040057045,1714040070200,1714040078774,1714040091830
174,1714039997898,1714040001532,1714040010551,1714040027904,1714040052151,1714040058844,1714040062626,1714040091830
175,1714039997898,1714040001543,1714040011103,1714040027363,1714040054890,1714040067800,1714040075659,1714040091830
176,1714039997898,1714040001533,1714040008382,1714040010324,1714040059321,1714040068501,1714040074837,1714040091830
177,1714039997898,1714040001545,1714040010630,1714040027918,1714040055870,1714040068985,1714040077546,1714040091830
178,1714039997898,1714040001535,1714040012181,1714040014738,1714040049877,1714040057057,1714040063993,1714040091830
179,1714039997898,1714040001531,1714040011526,1714040025283,1714040058098,1714040067994,1714040072984,1714040091830
180,1714039997898,1714040001534,1714040014207,1714040018549,1714040052268,1714040060657,1714040065692,1714040091830
181,1714039997898,1714040001531,1714040014299,1714040018061,1714040047871,1714040055413,1714040062192,1714040091830
182,1714039997898,1714040001529,1714040008816,1714040011748,1714040058441,1714040068453,1714040073574,1714040091830
183,1714039997898,1714040001533,1714040011485,1714040025875,1714040053111,1714040064741,1714040072789,1714040091830
184,1714039997898,1714040001533,1714040010765,1714040027652,1714040055261,1714040067023,1714040072187,1714040091830
185,1714039997898,1714040001532,1714040009416,1714040012384,1714040047378,1714040058140,1714040063661,1714040091830
186,1714039997898,1714040001538,1714040009231,1714040012444,1714040047047,1714040054191,1714040058803,1714040091830
187,1714039997898,1714040001530,1714040009070,1714040011989,1714040047462,1714040055064,1714040060028,1714040091830
188,1714039997898,1714040001531,1714040012829,1714040015508,1714040055422,1714040064145,1714040071849,1714040091830
189,1714039997898,1714040001530,1714040012051,1714040015493,1714040048942,1714040061333,1714040070168,1714040091830
190,1714039997898,1714040001529,1714040011182,1714040027536,1714040049529,1714040058220,1714040065939,1714040091830
191,1714039997898,1714040001542,1714040014827,1714040017949,1714040052125,1714040064765,1714040071098,1714040091830
